Name,Description,Can_be_colored,Is_attack_sigil,Upgraded_sigil
Distresser,"During your end step, this card stresses. Nothing happens.",,,
Heat Drop,"When played, this card cools the air. Nothing happens.",,,
Blood Pact,"When sacrificed, this card provides 1 more blood.",,,Worthy Sacrifice
Worthy Sacrifice,"When sacrificed, this card provides 3 blood.",,,Blood Fountain
Hearty Offering,"When sacrificed, this card provides any amount of blood up to its health.",,,Generous Donation
Generous Donation,"When sacrificed, this card provides any amount of blood up to its stats.",,,
Blood Fountain,"When sacrificed, this card provides as much blood as needed.",,,
Life Donor,"When sacrificed, this card loses 1 health per blood it provides instead of perishing.",,,Many Lives
Many Lives,This card does not perish when sacrificed.,T,,Two Many Lives
Two Many Lives,"This card does not perish when sacrificed, and can be sacrificed twice for a single cost.",T,,
Lifeblood,All your other cards can be sacrificed.,,,Convergence
Convergence,All your other cards can be sacrificed and shattered for a shattered gem of any color.,,,
Blood Battery,"When playing cards, you may pay 4 energy instead of paying 1 blood.",,,
Prized Sacrifice,You cannot sacrifice other cards alongside this one.,,,
Unburial,"When played, gain 1 bone.",,,Unboxing
Unboxing,"When played, gain 2 bones.",,,
Bone Digger,"During your end step, gain 1 bone.",T,,Tomb Digger
Tomb Digger,"During your end step, gain 2 bones.",T,,Mass Grave
Mass Grave,"During your end step, gain 3 bones.",T,,Digger King
Digger King,"During your end step, gain 4 bones.",,,
Excavator,"When you gain energy cells, gain 1 bone.",,,Drill
Drill,"When you gain energy cells, gain 2 bones.",,,
Necromancy,"During your end step, gain 1 bone per Mox card you control.",,,Skullmancy
Skullmancy,"During your end step, gain 2 bones per Mox card you control.",,,
Scrounger,"When this card kills another, gain 1 bone.",T,,Spiteful
Spiteful,"When this card kills another, gain 2 bones.",T,,Skull Taker
Skull Taker,"When this card kills another, gain 3 bones.",T,,Spine Ripper
Spine Ripper,"When this card kills another, gain 4 bones.",T,,
Scavenger,"When an opposing card dies in combat, gain 1 bone.",T,,Carrion
Carrion,"When an opposing card dies in combat, gain 2 bones.",T,,
Harvester,"Gain 2 bones for each direct damage this card deals.",T,,
Fracture,"When killed in combat, gain bones equal to the full damage dealt.",T,,Munchmeyer
Munchmeyer,"When damaged, gain bones equal to the full damage dealt.",T,,
Bone King,"When this card perishes, gain 4 bones instead of 1.",,,Pile of Bones
Pile of Bones,"When this card perishes, gain 8 bones instead of 1.",,,
Memoriam,"When your other cards perish, gain 1 more bone.",T,,Commute
Commute,"When your other cards perish, gain 2 more bones.",T,,
Loose Bones,"During your end step, this card moves to an adjacent space, giving 1 bone.",,,Spine Walker
Spine Walker,"During your end step, this card moves to an adjacent space, giving 2 bones.",T,,Spine Lord
Spine Lord,"During your end step, this card moves to an adjacent space, giving 3 bones.",T,,
Bonehorn,"Pay 1 energy to gain 1 bone.",T,,
Bury,"Once per turn, you may discard a card in your hand or field to gain 3 bones.",T,,
Battery Bearer,"When played, gain an energy cell.",,,Bank Bearer
Bank Bearer,"When played, gain 2 energy cells.",,,
Generator,"During your end step, gain an energy cell.",,,Reactor
Reactor,"During your end step, gain 2 energy cells.",,,
Death Surge,"When this card perishes, gain 2 energy cells.",,,Death Surcharge
Death Surcharge,"When this card perishes, gain 4 energy cells.",,,
Discharge,"When this card kills another, gain an energy cell.",,,Surging Purge
Surging Purge,"When an opposing card dies in combat, gain 1 energy cell.",T,,
Soul Stealer,"When this card kills another, gain an energy cell.",,,Soul Mangler
Soul Mangler,"When this card kills another, gain 2 energy cells.",,,
Shock,"When struck, gain an energy cell.",,,Static
Static,"When struck, gain 2 energy cells.",,,
Dust Charge,"When your Mox cards die, gain an energy cell.",,,Skull Charge
Skull Charge,"When your other cards cards die, gain an energy cell.",,,
Fossil Fuel,"Pay 1 bone to refill an energy cell.",T,,
Spare Supply,"When played, your depleted energy cells are refilled.",T,,No Power Loss
No Max Reduction,"Your energy cells cannot be destroyed.",,,No Power Loss
No Power Loss,"Your depleted energy cells instantly refill.",,,
Gem Linked,This card counts as a Mox card.,,,
Green Extract,This card has a Green Essence.,,,Green Gem
Green Gem,This card provides a Green gem.,,,Malachite Gem
Malachite Gem,This card provides 2 Green gems.,,,
Orange Extract,This card has an Orange Essence.,,,Orange Gem
Orange Gem,This card provides an Orange gem.,,,Citrine Gem
Citrine Gem,This card provides 2 Orange gems.,,,
Blue Extract,This card has a Blue Essence.,,,Blue Gem
Blue Gem,This card provides a Blue gem.,,,Azurite Gem
Azurite Gem,This card provides 2 Blue gems.,,,
Prism Gem,This card provides a gem of any color.,,,Light Gem
Prism Essence,This card provides a gem of any color.,,,
Light Gem,This card provides 2 gems of any color.,,,Moxum Opus
Magnificent Gem,"This card provides one Green, one Orange and one Blue gem.",,,Moxum Opus
Moxum Opus,"This card provides three gems of any color.",,,
Overcoat,Any gems provided on your side become gems of any color.,,,Paintjob
Paintjob,Your Mox cards also provide a gem of any color.,,,
Gemorphosis,"While this card is on the field, your other cards have the Mox tribe.",,,
Destiny,"This card provides a gem of a random color. Pay 2 energy to roll the color.",,,
Fragment Hoard,"This card can be shattered to provide 2 shattered gems of any color.",,,Fragment Mass
Fragment Mass,"This card can be shattered to provide 3 shattered gems of any color.",,,
Body of Dust,"When you shatter a card, it provides double the amount of shattered gems.",,,Made of Dust
Made of Dust,"When you shatter a card, it provides triple the amount of shattered gems.",,,
Dust Gatherer,"When you shatter a card, it does not perish.",,,Gem Transmuter
Gem Transmuter,"Your mox cards can be sacrificed, and don't perish when shattered or sacrificed.",,,
Lapis Holder,"After this card dies, the next card to enter its space will gain the [sigil:BlueGem] Blue Gem sigil.",,,Azur Lapis
Azur Lapis,"After this card dies, the next card to enter its space will gain the [sigil:AzuriteGem] Azurite Gem sigil.",,,
